thundering 	4855 	3226 	791 	679 	159
thunderingly 	46 	37 	5 	2 	2
thunderings 	4614 	3718 	425 	360 	111
thunderjet 	11 	0 	0 	11 	0
thunderous 	1052 	263 	345 	384 	60
thunderously 	111 	27 	22 	58 	4
thunderpeal 	60 	58 	0 	2 	0
thunderplump 	10 	10 	0 	0 	0
thunders 	75210 	59806 	7722 	6185 	1497
thundersfield 	10 	10 	0 	0 	0
thundershower 	298 	165 	66 	54 	13
thundershowers 	500 	94 	183 	205 	18
thundersley 	59 	9 	50 	0 	0
thunderson 	28 	28 	0 	0 	0
thunderspeech 	11 	10 	0 	1 	0
thunderspirits 	44 	42 	0 	2 	0
thundersquall 	10 	0 	7 	3 	0
thunderstone 	38 	31 	2 	4 	1
thunderstones 	10 	0 	8 	2 	0
thunderstorm 	24620 	11650 	5559 	6141 	1270
thunderstorm.3 	10 	10 	0 	0 	0
thunderstorms 	15285 	4601 	4362 	5155 	1167
thunderstricken 	97 	67 	20 	9 	1
thunderstrike 	408 	361 	35 	12 	0
thunderstriking 	11 	0 	11 	0 	0
thunderstroke 	194 	169 	17 	4 	4
thunderstruck 	22122 	16030 	3020 	2466 	606
thunderstrucken 	25 	21 	4 	0 	0
thunderweapon 	15 	3 	4 	7 	1
thundery 	95 	48 	35 	10 	2
thundleford 	10 	0 	6 	4 	0
thundred 	122 	80 	19 	17 	6
thundreth 	15 	14 	1 	0 	0
thundring 	65 	40 	8 	15 	2
thundrous 	27 	15 	5 	5 	2
thundwa 	10 	9 	0 	1 	0
thundy 	53 	0 	0 	36 	17
thune 	426 	28 	235 	153 	10
thuneau 	10 	10 	0 	0 	0
thunen 	1517 	145 	156 	1102 	114
thuners 	15 	14 	0 	1 	0
thung 	83 	24 	4 	55 	0
thunge 	12 	0 	0 	12 	0
thungen 	101 	90 	6 	5 	0
thungon 	523 	0 	0 	523 	0
thunk 	634 	110 	106 	234 	184
thunked 	135 	0 	0 	131 	4
thunks 	60 	0 	0 	60 	0
thunner 	10 	10 	0 	0 	0
thunnered 	25 	23 	2 	0 	0
thunnies 	32 	32 	0 	0 	0
thunnus 	14 	0 	0 	14 	0
thunny 	12 	11 	0 	1 	0
thunor 	11 	3 	3 	5 	0
thunot 	10 	10 	0 	0 	0
thunstone 	33 	23 	10 	0 	0
thunye 	10 	0 	10 	0 	0
thuon 	30 	0 	0 	1 	29
thuong 	50 	10 	0 	36 	4
thuoris 	28 	27 	0 	1 	0
thuot 	1711 	0 	0 	1415 	296
thuoydides 	10 	10 	0 	0 	0
thupa 	53 	25 	13 	15 	0
thuppa 	11 	11 	0 	0 	0
thuppothe 	122 	92 	14 	10 	6
thuppothed 	26 	20 	0 	4 	2
thur 	433 	152 	62 	208 	11
thur. 	13 	13 	0 	0 	0
thur8ton 	15 	15 	0 	0 	0
thura 	596 	528 	45 	18 	5
thuraeans 	12 	12 	0 	0 	0
thuran 	40 	40 	0 	0 	0
thuranszky 	15 	0 	0 	0 	15
thuraque 	10 	9 	0 	1 	0
thurarius 	12 	10 	2 	0 	0
thuras 	45 	0 	35 	10 	0
thurau 	122 	0 	0 	121 	1
thurawahara 	16 	16 	0 	0 	0
thurber 	13021 	3493 	2018 	7071 	439
thurberg 	66 	0 	0 	65 	1
thurberi 	12 	0 	0 	10 	2
thurbern 	11 	10 	0 	1 	0
thurbetski 	16 	0 	16 	0 	0
thurbrand 	31 	31 	0 	0 	0
thurburn 	94 	77 	10 	3 	4
thurcaston 	114 	95 	5 	13 	1
thurch 	10 	10 	0 	0 	0
thurchil 	13 	13 	0 	0 	0
thurcy 	49 	49 	0 	0 	0
thurcyl 	15 	13 	2 	0 	0
thurcytel 	12 	12 	0 	0 	0
thurcytels 	12 	12 	0 	0 	0
thure 	35 	25 	8 	2 	0
thureau 	81 	60 	12 	8 	1
thurebrand 	24 	24 	0 	0 	0
thurel 	84 	63 	21 	0 	0
thuren 	15 	1 	3 	10 	1
thureos 	70 	62 	3 	5 	0
thurerstr 	13 	0 	13 	0 	0
thuret 	405 	351 	15 	33 	6
thureti 	10 	9 	0 	1 	0
thuretii 	21 	20 	1 	0 	0
thurey 	39 	39 	0 	0 	0
thurfday 	703 	697 	1 	4 	1
thurfert 	15 	13 	2 	0 	0
thurgarton 	21 	14 	4 	2 	1
thurgau 	1097 	513 	365 	190 	29
thurgenstowen 	15 	0 	15 	0 	0
thurgh 	199 	134 	29 	34 	2
thurgood 	111 	2 	17 	79 	13
thurgovia 	151 	151 	0 	0 	0
thurgovians 	16 	16 	0 	0 	0
thurgut 	31 	31 	0 	0 	0
thuria 	26 	26 	0 	0 	0
thuriae 	14 	14 	0 	0 	0
thurian 	218 	55 	2 	148 	13
thurians 	36 	32 	3 	1 	0
thuriatae 	10 	8 	0 	2 	0
thuriaux 	29 	0 	0 	26 	3
thuribe 	10 	0 	4 	6 	0
thurible 	280 	158 	52 	64 	6
thuribles 	92 	67 	13 	12 	0
thuribulis 	52 	11 	19 	22 	0
thuribulo 	14 	3 	6 	5 	0
thurid 	78 	59 	11 	3 	5
thurie 	10 	10 	0 	0 	0
thurifer 	65 	44 	18 	2 	1
thurifera 	225 	200 	8 	13 	4
thuriferis 	22 	22 	0 	0 	0
thurifers 	35 	16 	13 	6 	0
thurificet 	10 	4 	4 	2 	0
thurifies 	31 	31 	0 	0 	0
thurii 	883 	746 	70 	63 	4
thurik 	10 	0 	0 	7 	3
thuringen 	176 	60 	65 	47 	4
thuringer 	44 	8 	20 	16 	0
thuringerwald 	23 	23 	0 	0 	0
thuringia 	4162 	2749 	590 	748 	75
thuringiaca 	22 	14 	4 	4 	0
thuringian 	215 	89 	58 	64 	4
thuringians 	663 	611 	31 	17 	4
thuringiensis 	1329 	23 	16 	884 	406
thuringorum 	24 	20 	2 	2 	0
